host_id,x,y,target_host
1,954.889,117.2182,6
1,596.6407,154.4159,6
1,291.6683,499.402,3
1,607.5997,869.9923,2
1,588.4317,364.2068,4
1,971.8381,140.3496,6
1,787.6628,483.1045,4
1,428.8529,42.4578,1
1,925.2291,478.8147,4
1,450.4423,319.7389,9
1,81.3185,281.2386,1
1,101.0442,907.0532,5
1,371.308,955.488,5
1,371.308,955.488,5
1,692.5258,826.6328,2
2,91.7432,699.6836,5
2,534.1318,331.3041,4
2,22.4455,970.1571,5
2,248.5579,884.4178,5
2,820.3396,694.5194,7
2,724.4686,423.3988,4
2,370.7358,415.4988,3
2,679.2913,79.2644,6
2,780.1224,800.3022,7
2,324.589,81.7792,1
2,639.2041,729.2403,3
2,479.8952,495.0952,3
2,528.5371,420.1411,3
2,355.182,359.307,9
2,39.585,494.3668,1
2,505.0951,281.461,4
2,99.2318,337.054,1
3,334.3438,383.4789,9
3,652.4386,485.8382,4
3,655.9262,630.1973,3
3,746.4189,324.8913,4
3,981.6989,669.473,7
3,668.5787,728.6061,2
3,991.2606,234.0063,6
3,587.1224,635.9472,3
3,983.0622,832.0158,7
3,132.8993,997.2417,5
3,995.1139,935.2926,7
3,362.9234,216.5805,1
3,753.339,380.1341,4
3,444.7571,677.3686,3
3,984.3352,264.4669,6
3,426.6351,216.1251,9
3,53.1732,642.4714,5
3,862.3595,493.0711,4
3,481.7784,110.2465,1
3,623.7896,164.8583,6
3,736.8488,132.2262,6
3,199.8617,221.3494,1
3,721.8011,495.2605,4
3,397.4336,460.8477,3
3,302.1212,625.6872,3
3,294.5781,589.0204,3
3,714.2614,734.0635,2
3,674.0655,562.6119,4
3,917.705,301.9719,6
3,112.625,415.1835,1
3,13.7155,705.9903,5
3,376.2598,862.3597,5
3,977.17,494.8208,4
3,800.5564,500.5148,4
3,945.2979,689.2931,7
4,324.9407,606.3146,3
4,571.5501,686.1979,3
4,976.2449,323.5814,6
4,426.8894,967.8395,2
4,54.916,204.2892,1
4,373.3634,653.0116,3
4,490.6942,422.9939,3
4,234.4594,284.5212,1
4,709.4293,879.4223,2
4,777.7195,891.7321,7
4,386.8173,764.069,3
4,819.9106,363.0005,4
4,301.3095,53.8398,1
4,532.7557,931.2629,2
4,262.4978,181.484,1
4,131.8732,540.159,3
4,57.6486,683.9568,5
4,174.3433,953.8804,5
4,332.8598,142.9294,1
4,344.6982,333.3029,9
5,755.0816,37.4539,6
5,116.4432,946.3005,5
5,437.261,334.5754,9
5,5.8457,355.5474,1
5,661.1366,495.627,4
5,649.4115,203.6959,4
5,55.5928,897.4651,5
5,423.8545,539.0604,3
5,967.9027,542.7112,4
5,415.881,454.5168,3
5,506.978,260.177,9
5,458.9475,523.7529,3
6,422.3966,870.6404,2
6,127.7152,140.5576,1
6,35.6284,968.2699,5
6,388.6363,449.9732,3
