host_id,x,y,target_host
1,954.889,117.2182,6
1,596.6407,154.4159,9
1,291.6683,499.402,2
1,607.5997,869.9923,3
1,588.4317,364.2068,8
1,971.8381,140.3496,6
1,787.6628,483.1045,7
1,428.8529,42.4578,9
1,925.2291,478.8147,7
1,450.4423,319.7389,9
1,81.3185,281.2386,5
1,101.0442,907.0532,1
1,371.308,955.488,3
1,371.308,955.488,3
1,692.5258,826.6328,4
2,91.7432,699.6836,1
2,534.1318,331.3041,9
2,22.4455,970.1571,1
2,248.5579,884.4178,1
2,820.3396,694.5194,4
2,724.4686,423.3988,7
2,370.7358,415.4988,8
2,679.2913,79.2644,6
2,780.1224,800.3022,4
2,324.589,81.7792,5
2,639.2041,729.2403,3
2,479.8952,495.0952,8
2,528.5371,420.1411,8
2,355.182,359.307,8
2,39.585,494.3668,2
2,505.0951,281.461,9
2,99.2318,337.054,2
3,334.3438,383.4789,2
3,652.4386,485.8382,8
3,655.9262,630.1973,8
3,746.4189,324.8913,6
3,981.6989,669.473,4
3,668.5787,728.6061,4
3,991.2606,234.0063,6
3,587.1224,635.9472,8
3,983.0622,832.0158,4
3,132.8993,997.2417,1
3,995.1139,935.2926,4
3,362.9234,216.5805,9
3,753.339,380.1341,7
3,444.7571,677.3686,3
3,984.3352,264.4669,6
3,426.6351,216.1251,9
3,53.1732,642.4714,2
3,862.3595,493.0711,7
3,481.7784,110.2465,9
3,623.7896,164.8583,9
3,736.8488,132.2262,6
3,199.8617,221.3494,5
3,721.8011,495.2605,7
3,397.4336,460.8477,8
3,302.1212,625.6872,2
3,294.5781,589.0204,2
3,714.2614,734.0635,4
3,674.0655,562.6119,7
3,917.705,301.9719,6
3,112.625,415.1835,2
3,13.7155,705.9903,1
3,376.2598,862.3597,3
3,977.17,494.8208,7
3,800.5564,500.5148,7
3,945.2979,689.2931,4
4,324.9407,606.3146,2
4,571.5501,686.1979,3
4,976.2449,323.5814,6
4,426.8894,967.8395,3
4,54.916,204.2892,5
4,373.3634,653.0116,8
4,490.6942,422.9939,8
4,234.4594,284.5212,5
4,709.4293,879.4223,4
4,777.7195,891.7321,4
4,386.8173,764.069,3
4,819.9106,363.0005,7
4,301.3095,53.8398,5
4,532.7557,931.2629,3
4,262.4978,181.484,5
4,131.8732,540.159,2
4,57.6486,683.9568,1
