host_id,x,y,target_host
1,774.959,971.8902,7
1,787.6628,483.1045,4
1,735.1533,923.0242,7
1,211.6891,597.5921,3
1,254.9838,631.246,3
1,671.4515,639.5084,3
1,401.4366,560.2451,3
1,306.2747,531.8312,3
1,555.9101,314.035,4
1,816.4327,210.6787,6
1,578.1862,325.5245,4
1,635.6604,123.6243,6
1,538.6059,542.5625,3
1,871.067,986.6494,7
1,831.4184,392.5065,4
1,290.6998,693.9084,3
1,850.1917,800.3324,7
1,478.766,656.1427,3
1,880.6261,493.3228,4
1,22.4455,970.1571,5
1,658.9009,732.6925,2
1,224.7195,352.4531,1
1,357.0575,626.2324,3
1,254.9838,631.246,3
1,965.3877,427.1891,4
1,809.6548,648.0411,4
1,956.0504,153.0032,6
1,964.2626,295.3324,6
1,99.5779,884.0021,5
1,290.6998,693.9084,3
2,174.224,877.2679,5
2,820.3396,694.5194,7
2,685.5275,572.2533,4
2,112.625,415.1835,1
2,679.2913,79.2644,6
2,753.339,380.1341,4
2,91.7432,699.6836,5
2,685.5275,572.2533,4
2,528.5371,420.1411,3
2,355.182,359.307,9
2,334.3438,383.4789,9
2,837.4903,472.3206,4
3,636.1378,406.6945,4
3,71.6633,219.6367,1
3,47.0378,606.559,5
3,5.0376,858.498,5
3,750.0444,456.967,4
3,636.1378,406.6945,4
3,199.8617,221.3494,1
3,886.0026,74.8774,6
3,623.7254,962.3832,2
3,294.5781,589.0204,3
3,505.0951,281.461,4
3,753.339,380.1341,4
3,294.5781,589.0204,3
3,91.3957,63.6762,1
3,745.1998,831.7203,7
3,668.5787,728.6061,2
3,396.2675,669.1746,3
3,86.6087,294.5506,1
3,591.7257,869.4931,2
3,284.1114,286.3016,1
3,910.4465,245.0025,6
3,746.4189,324.8913,4
3,876.2582,960.3273,7
3,318.6494,606.935,3
3,16.8545,317.1235,1
3,641.2598,789.606,2
3,396.2675,669.1746,3
4,962.1901,525.7808,4
4,131.8732,540.159,3
4,54.916,204.2892,1
4,761.4,460.9529,4
4,732.4054,3.9855,6
4,365.9725,601.8549,3
4,587.1224,635.9472,3
4,357.8492,874.7908,5
4,115.0727,572.9613,5
4,306.2747,531.8312,3
4,658.0051,790.3962,2
4,131.3934,78.754,1
4,286.8452,509.1003,3
4,115.0727,572.9613,5
4,928.3674,631.4561,7
4,421.8127,281.236,9
4,88.1426,696.3656,5
4,344.2118,660.1142,3
4,47.0378,606.559,5
4,387.9526,189.62,1
4,42.461,409.0608,1
4,194.3605,602.0198,3
4,765.2185,677.477,4
4,131.8732,540.159,3
4,819.9106,363.0005,4
4,21.6136,355.8978,1
4,761.4,460.9529,4
4,489.0474,920.5604,2
4,344.2118,660.1142,3
4,479.8952,495.0952,3
4,382.9996,426.4727,3
5,27.8102,875.2488,5
5,635.2944,160.0378,6
5,877.2514,488.5317,4
5,751.8003,815.9234,7
5,365.9725,601.8549,3
5,583.1502,521.3312,3
5,264.2108,335.518,9
5,294.7627,800.8787,5
5,663.7543,205.4745,6
5,396.9469,294.7598,9
5,578.701,267.5985,4
5,16.8545,317.1235,1
5,966.4217,943.8999,7
5,47.0378,606.559,5
5,855.6895,643.6385,4
5,813.2913,946.6564,7
5,334.3438,383.4789,9
5,444.8196,663.3855,3
5,161.9603,802.6677,5
5,401.4366,560.2451,3
5,77.9129,85.9133,1
5,436.1681,543.4177,3
5,674.2297,797.2098,2
5,94.7855,116.0152,1
5,139.579,95.1949,1
1,368.8236,637.2621,3
1,224.7195,352.4531,1
1,809.6548,648.0411,4
9,478.6762,671.2126,3
6,326.8512,367.0178,9
6,699.0389,190.3143,6
6,99.5779,884.0021,5
1,132.8993,997.2417,5
1,59.1425,740.8,5
1,754.6136,62.2295,6
1,424.6091,849.6579,2
1,588.4317,364.2068,4
1,289.2842,636.2393,3
1,991.2606,234.0063,6
1,917.705,301.9719,6
1,127.7152,140.5576,1
1,631.0477,90.9317,6
1,840.0206,997.7458,7
1,984.3352,264.4669,6
2,54.916,204.2892,1
2,248.8404,842.3546,5
2,799.7635,35.4652,6
2,880.2622,367.5267,4
2,196.7014,757.8239,5
2,355.182,359.307,9
2,799.7635,35.4652,6
2,71.8881,357.6921,1
2,275.558,549.0906,3
2,956.4932,857.51,7
2,953.4606,415.4601,4
2,799.7635,35.4652,6
2,370.7358,415.4988,3
2,352.4895,24.5409,1
2,572.5734,465.6155,3
2,98.3341,174.6589,1
2,224.1885,821.4688,5
3,298.295,51.6817,1
3,821.331,361.0803,4
3,158.7122,757.5822,5
3,481.7784,110.2465,1
3,391.2885,493.2725,3
3,655.9262,630.1973,3
3,555.9101,314.035,4
3,774.959,971.8902,7
3,439.4509,839.9792,2
3,732.4054,3.9855,6
3,980.6706,332.2614,6
3,903.7394,885.8264,7
3,444.8196,663.3855,3
3,917.705,301.9719,6
3,71.6633,219.6367,1
3,658.0051,790.3962,2
3,391.2885,493.2725,3
3,761.576,888.6467,7
3,637.3292,275.7641,4
3,164.8365,546.546,3
3,62.0155,79.6377,1
